verified,reviewTime,reviewerID,asin,style,reviewText,summary,overall,day,month,year,sentiment,review_clean
True,2008-12-05,A1JBIN5QL5PZRF,B0007Y09VO,{'Format:': ' Paperback'},"the first books for dummies were great so i bought this book without any hesitation. the author is knowledgeable about the topic, but lacks the gift of explanation for beginners. i have since found the book not your mama's crochet and am much happier with it. while i like the projects in the dummies book better, the explanation and pictures are better in the ""not your mama's"" book.",Not for beginners,2,5,12,2008,0,the first books for dummies were great so i bought this book without any hesitation the author is knowledgeable about the topic but lacks the gift of explanation for beginners i have since found the book not your mamas crochet and am much happier with it while i like the projects in the dummies book better the explanation and pictures are better in the not your mamas book
False,2008-11-05,A1ZJBL435IIZ7O,B0007Y09VO,{'Format:': ' Kindle Edition'},"<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/crocheting-for-dummies/dp/b001c4pklw/ref=cm_cr_arp_d_rvw_txt?ie=utf8"">crocheting for dummies</a>though the sample version for the kindle included the entire table of contents, there were no images in the sample.  how can you tell if it's a good illustration if you don't get a sample of an illustration?  thanks!",Kindle sample version,1,5,11,2008,0,a datahookproductlinklinked classalinknormal hrefcrochetingfordummiesdpb001c4pklwrefcmcrarpdrvwtxtieutf8crocheting for dummiesathough the sample version for the kindle included the entire table of contents there were no images in the sample  how can you tell if its a good illustration if you dont get a sample of an illustration  thanks
False,2005-04-19,AASR64VUXBBU7,B0007Y09VO,{'Format:': ' Paperback'},"i eagerly awaited this book by ""dummies"" hoping it would help me learn faster and with more understanding than some of the other books i had looked at.

when it finally came out i was unfortunately disappointed.  the entire book reads in a very unorganized way.  they start explaining one thing and then go off on a tangent about something else.  the stitch illustrations are not real clear for the beginner who is looking for close-up photos/pictures showing exactly where the hook should go.

i have many ""how to crochet"" books(lets) and didn't feel the need to buy this book as it really didn't offer anything new that i already had and also seemed to just be a compilation of most of the other books out there, and a poorly organized compilation at that.

you would do better to purchase a less expensive booklet to learn the basics.","Just ""Ok""!",2,19,4,2005,0,"i eagerly awaited this book by dummies hoping it would help me learn faster and with more understanding than some of the other books i had looked at

when it finally came out i was unfortunately disappointed  the entire book reads in a very unorganized way  they start explaining one thing and then go off on a tangent about something else  the stitch illustrations are not real clear for the beginner who is looking for closeup photospictures showing exactly where the hook should go

i have many how to crochet bookslets and didnt feel the need to buy this book as it really didnt offer anything new that i already had and also seemed to just be a compilation of most of the other books out there and a poorly organized compilation at that

you would do better to purchase a less expensive booklet to learn the basics"
False,2017-01-24,A3PLX7GLR683LV,B0007Y8GSM,,plain and simple...some of the frets are not placed properly so the uke doesn't play in tune. why buy an instrument that doesn't play in tune?,Doesn't play in tune - cheaply made,1,24,1,2017,0,plain and simplesome of the frets are not placed properly so the uke doesnt play in tune why buy an instrument that doesnt play in tune
True,2016-12-14,A1HHEDHBYE7E0N,B0007Y8GSM,,"i bought this as a gift for my husband 2 years ago. he was never able to get it tuned. professionals were unable to tune it. i understand it's a cheap instrument, but i thought it would at least be good to learn how to play the ukulele.",but I thought it would at least be good to learn how to play the ukulele,1,14,12,2016,0,i bought this as a gift for my husband 2 years ago he was never able to get it tuned professionals were unable to tune it i understand its a cheap instrument but i thought it would at least be good to learn how to play the ukulele
True,2016-10-05,A3AUVRZMEBQ480,B0007Y8GSM,,the ukulele broke the first time i tuned it.  definitely got what i paid for.,Two Stars,2,5,10,2016,0,the ukulele broke the first time i tuned it  definitely got what i paid for
True,2016-09-30,AMV3OOK4MCA0R,B0007Y8GSM,,this started to bteak almost immediately,One Star,1,30,9,2016,0,this started to bteak almost immediately
False,2016-08-02,A3JV6WW5TCX3C8,B0007Y8GSM,,it took hours to tune and when i finally tuned it; the bridge ripped of. it may be a starter uke but this is cheap feeling and a decoration at best.,It may be a starter uke but this is cheap feeling and a decoration at best.,1,2,8,2016,0,it took hours to tune and when i finally tuned it the bridge ripped of it may be a starter uke but this is cheap feeling and a decoration at best
True,2016-07-15,A1ST9IMY1N4243,B0007Y8GSM,,"i am giving you a perspective from someone who already plays guitar, bass, and drums.  the courses are okay and will get you up and running.  the problem is the ukulele is a pos.  it will not stay in tune for more than 5 minutes.  it is the worst piece of equipment i have ever purchased.  i should have headed the warnings.  do not buy this!",Do Not Buy!,1,15,7,2016,0,i am giving you a perspective from someone who already plays guitar bass and drums  the courses are okay and will get you up and running  the problem is the ukulele is a pos  it will not stay in tune for more than 5 minutes  it is the worst piece of equipment i have ever purchased  i should have headed the warnings  do not buy this
True,2016-06-26,AZF7V2W8TXJ6K,B0007Y8GSM,,package was in great shape while being shipped. the arm of the ukulele not glued together on the back.  very disappointed as i wanted to start learning to play.,Package was in great shape while being shipped,1,26,6,2016,0,package was in great shape while being shipped the arm of the ukulele not glued together on the back  very disappointed as i wanted to start learning to play
True,2016-06-18,A30UV2I4ZY0QCV,B0007Y8GSM,,seemed like good quality but after very little use it cracked on the back where the neck and body meet making it unusable.,Cracked in half,1,18,6,2016,0,seemed like good quality but after very little use it cracked on the back where the neck and body meet making it unusable
True,2016-06-04,A2QS574YRSEXTF,B0007Y8GSM,,"a little disappointed, it won't play the correct notes. when i do an am chord it is flat. i have another much older uke that i play right next to it and they don't sound remotely the same even when playing the same notes. they are both soprano uke's and tuned to the same key. but one plays a completely different (flat) note than the other. wish i could get my money back but the 30 day window is past and it played great for the first bit but something has gone off on it.",Won't play notes correctly.,2,4,6,2016,0,a little disappointed it wont play the correct notes when i do an am chord it is flat i have another much older uke that i play right next to it and they dont sound remotely the same even when playing the same notes they are both soprano ukes and tuned to the same key but one plays a completely different flat note than the other wish i could get my money back but the 30 day window is past and it played great for the first bit but something has gone off on it
True,2016-06-03,A3JPVHOXVIRS8J,B0007Y8GSM,,the last string features a whole step instead of a half step when playing from one fret to another....i had to play only the first 3 strings for the job needing a ukelele.,last string on ukelele cannot be played,2,3,6,2016,0,the last string features a whole step instead of a half step when playing from one fret to anotheri had to play only the first 3 strings for the job needing a ukelele
True,2016-05-17,A3RT8JFO6ALAAU,B0007Y8GSM,,"very low quality ukulele, the paint on the neck was missing in places and there was a sliver of wood sticking out of it. i'm sending it back.","Very low quality Ukulele, the paint on the neck ...",1,17,5,2016,0,very low quality ukulele the paint on the neck was missing in places and there was a sliver of wood sticking out of it im sending it back
True,2016-05-15,A1MUTLK20EFWQQ,B0007Y8GSM,,doesn't ever stay tuned. waste of money,Waste of,1,15,5,2016,0,doesnt ever stay tuned waste of money
True,2016-04-24,A2OTGNH3PDI6IP,B0007Y8GSM,,"this ukelele goes out of tune every 5 minutes.
my friend also has this ukelele and has encountered the same problem. not worth buying because it is impossible to learn to play/impossible to play because it constantly needs to be tuned",this ukelele goes out of tune every 5 minutes. ...,1,24,4,2016,0,"this ukelele goes out of tune every 5 minutes
my friend also has this ukelele and has encountered the same problem not worth buying because it is impossible to learn to playimpossible to play because it constantly needs to be tuned"
True,2016-04-20,AQ8ADQH2H6T0Q,B0007Y8GSM,,can't stay in-tune for more than a minute. terrible beginners ukulele.,Terrible beginners Ukulele,1,20,4,2016,0,cant stay intune for more than a minute terrible beginners ukulele
True,2016-04-16,A1JJ2MV550I0A5,B0007Y8GSM,,i recommend spending a little more to get a better quality option.  doesn't stay in tune.  very difficult to play due to improper fret spacing.  we bought for my daughter learning to play and it has been disappointing due to the added struggle from low quality of item.,I recommend spending a little more to get a better quality ...,1,16,4,2016,0,i recommend spending a little more to get a better quality option  doesnt stay in tune  very difficult to play due to improper fret spacing  we bought for my daughter learning to play and it has been disappointing due to the added struggle from low quality of item
True,2016-04-06,A3CEBIZH8X020K,B0007Y8GSM,,"the positive: good price. lots of extras.

the negative: the ukulele is of the worst quality. you are pretty much paying for a starter kit with a toy rather than an instrument. the intonation is off even when it's tuned properly. i found the 2nd fret on the 2nd string (from the top) to be always a quarter to half step sharp so if playing a c or f chord it sounds fine but it g or d sounds out of tune.

great for a toy, not for an instrument.","Great for a toy, not for an instrument.",2,6,4,2016,0,"the positive good price lots of extras

the negative the ukulele is of the worst quality you are pretty much paying for a starter kit with a toy rather than an instrument the intonation is off even when its tuned properly i found the 2nd fret on the 2nd string from the top to be always a quarter to half step sharp so if playing a c or f chord it sounds fine but it g or d sounds out of tune

great for a toy not for an instrument"
False,2016-03-27,AZXE0GE6L4F3D,B0007Y8GSM,,i've had this ukulele for a year now and it finally broke (the second time). i am going to purchase a different model because this one does not stay in tune.,Does not stay in tune,2,27,3,2016,0,ive had this ukulele for a year now and it finally broke the second time i am going to purchase a different model because this one does not stay in tune
True,2016-03-21,A2NVTV6OBL2N8R,B0007Y8GSM,,"i had this for two days. it didn't stay in tune for more than 5 mins. and we were driving and it just broke. the neck snaped, and a string poped. and when i first got it, it came with a huge dent on the first fret. i enjoyed the book, at the back was all the chord you need.",I enjoyed the book,2,21,3,2016,0,i had this for two days it didnt stay in tune for more than 5 mins and we were driving and it just broke the neck snaped and a string poped and when i first got it it came with a huge dent on the first fret i enjoyed the book at the back was all the chord you need
True,2016-03-14,A13L3K7YD7N1RB,B0007Y8GSM,,"we were so excited to make this purchase, this was to be my husband's first instrument ever and the excitement was great.  the ukulele is cute although smaller than we expected lol, sadly no matter how many times we tuned it, after one or two strums it's back out of key again.  to make sure it wasn't a ""user error"" we set him up for a class  at a prominent large music store.  during the first 10 minutes of the class the instructor had to retune it 4 times, finally getting so frustrated he let my husband use a store ukulele for the rest of the lesson.  we really did try hard to make it work and really hoped for the best, sadly the tuning just won't hold and when you do play it, it sounds like a cheap toy.

the case is a very thin, crunchy plastic that i personally would never use.  it would be nice if a quiet fabric one was included instead.  the plastic is extremely loud as it crinkles and is extremely wrinkled.

the book is a good one for beginners, i've always enjoyed alfred's musical training books on my piano - i even have my first one still that i played from in 1975.  they've been around since the 1920's and with good reason.  the book is what sold me on this kit in the first place.

if you are serious about playing ukulele i'd recommend spending more to avoid frustration.",A toylike uke,2,14,3,2016,0,"we were so excited to make this purchase this was to be my husbands first instrument ever and the excitement was great  the ukulele is cute although smaller than we expected lol sadly no matter how many times we tuned it after one or two strums its back out of key again  to make sure it wasnt a user error we set him up for a class  at a prominent large music store  during the first 10 minutes of the class the instructor had to retune it 4 times finally getting so frustrated he let my husband use a store ukulele for the rest of the lesson  we really did try hard to make it work and really hoped for the best sadly the tuning just wont hold and when you do play it it sounds like a cheap toy

the case is a very thin crunchy plastic that i personally would never use  it would be nice if a quiet fabric one was included instead  the plastic is extremely loud as it crinkles and is extremely wrinkled

the book is a good one for beginners ive always enjoyed alfreds musical training books on my piano  i even have my first one still that i played from in 1975  theyve been around since the 1920s and with good reason  the book is what sold me on this kit in the first place

if you are serious about playing ukulele id recommend spending more to avoid frustration"
True,2016-03-12,AXVFVO1BRNJ36,B0007Y8GSM,,"this product is junk, i bought it as a gift and now since it's past the 30 days i can't return it. it's all plastic, it sounds awful. i thought it would be half way decent, but it's trash. don't buy this!","This product is junk, I bought it as a ...",1,12,3,2016,0,this product is junk i bought it as a gift and now since its past the 30 days i cant return it its all plastic it sounds awful i thought it would be half way decent but its trash dont buy this
True,2016-03-08,A1PUMF798Z7A2O,B0007Y8GSM,,won't tune. tried to return and purchase another but a week out of return policy.  should have spent a little more to get a better product.,Should have spent a little more to get a better product.,1,8,3,2016,0,wont tune tried to return and purchase another but a week out of return policy  should have spent a little more to get a better product
True,2015-05-16,A2RRG0Z5093JV8,B0007Y8GSM,{'Format:': ' Paperback'},read reviews that this guitar would stay in tune and was a great learning guitar.  i haven't found this to be true....must be retuned often.  can't play on it without needing to be tuned.  so it isn't good for trying to learn how to play guitar.  it was given as a gift and i was very disappointed to learn that it isn't really what i expected or wanted.,... this guitar would stay in tune and was a great learning guitar,2,16,5,2015,0,read reviews that this guitar would stay in tune and was a great learning guitar  i havent found this to be truemust be retuned often  cant play on it without needing to be tuned  so it isnt good for trying to learn how to play guitar  it was given as a gift and i was very disappointed to learn that it isnt really what i expected or wanted
True,2015-04-11,A1SMRJWKES06JZ,B0007Y8GSM,{'Format:': ' Paperback'},"expensive for what i got. came with a strap but there are no strap pegs to attach them to. no tuner included. cd and instruction book is nice. my 6 yr old boy is learning well. all in all, it would have been cheaper to buy a fancier guitar and instruction cd separate.",Eh...,2,11,4,2015,0,expensive for what i got came with a strap but there are no strap pegs to attach them to no tuner included cd and instruction book is nice my 6 yr old boy is learning well all in all it would have been cheaper to buy a fancier guitar and instruction cd separate
True,2016-02-16,A1S06MXQLXVOCQ,B0007Y8GSM,,"it was horrible!  we can not even tune it!

the reviews were bad but did not bother to read before buying.  too late!  well...",It was horrible! We can not even tune it,1,16,2,2016,0,"it was horrible  we can not even tune it

the reviews were bad but did not bother to read before buying  too late  well"
True,2016-02-14,A21MQPBS5Z9NXO,B0007Y8GSM,,useless. this product is poorly manufactured. you get what you pay for.,Two Stars,2,14,2,2016,0,useless this product is poorly manufactured you get what you pay for
True,2016-02-09,AQ5763QZBK8ZX,B0007Y8GSM,,"i ordered this and it came late and it is not an actual ukulele
it doesn't play right and the strings are plastic not nylon
don't waste your money and time not worth it",Ew,1,9,2,2016,0,"i ordered this and it came late and it is not an actual ukulele
it doesnt play right and the strings are plastic not nylon
dont waste your money and time not worth it"
True,2016-02-06,A12ET1WO3OAVU7,B0007Y8GSM,,please pay attention better than i did to the reviews! this a very poor quality product. will not stay in tune! if by chance you do order buy some better strings. the lesson book is ok but that's about it. do you self a favor and spend a little more. you will be glad you did!,Poor Quality product.,1,6,2,2016,0,please pay attention better than i did to the reviews this a very poor quality product will not stay in tune if by chance you do order buy some better strings the lesson book is ok but thats about it do you self a favor and spend a little more you will be glad you did
True,2016-02-04,A1ZOJX2L71K1LP,B0007Y8GSM,,"the description match the product, but i was expecting something with more quality","The description match the product,",1,4,2,2016,0,the description match the product but i was expecting something with more quality
True,2016-01-31,A2LO1U95N82DE8,B0007Y8GSM,,horrible instrument. the strings were bad quality and the ukulele wasn't even real wood. even after tuning it still sounded off and is very cheap and bad quality.,horrible instrument,1,31,1,2016,0,horrible instrument the strings were bad quality and the ukulele wasnt even real wood even after tuning it still sounded off and is very cheap and bad quality
True,2014-02-03,A1CPGC3XRBVUBY,B0007Y8GSM,,"i bought this for my 6 year old daughter for christmas.  tried tuning it several times, sounded horrible.  i knew something was wrong, took it to a guitar repair place locally.  apparently the strings were too close to the neck and were buzzing or vibrating against it when strummed.  it was $20 to try and adjust the neck, but that wasn't enough.  $50 more to attempt repair.  guitar package as a whole was around $100, so i'm guessing the guitar was maybe $80-$90.  i managed to return it 3 days past the return date (repair shop called several days after dropped off).  obviously no quality control at the factory or by company, because they would have detected defect immediately according to the guitar store.  my daughter was crying tonight when i told her it was too much to repair.  fortunately, with the refund, i can get a another brand.",Defective Guitar,1,3,2,2014,0,i bought this for my 6 year old daughter for christmas  tried tuning it several times sounded horrible  i knew something was wrong took it to a guitar repair place locally  apparently the strings were too close to the neck and were buzzing or vibrating against it when strummed  it was 20 to try and adjust the neck but that wasnt enough  50 more to attempt repair  guitar package as a whole was around 100 so im guessing the guitar was maybe 8090  i managed to return it 3 days past the return date repair shop called several days after dropped off  obviously no quality control at the factory or by company because they would have detected defect immediately according to the guitar store  my daughter was crying tonight when i told her it was too much to repair  fortunately with the refund i can get a another brand
True,2016-01-22,A38FP0HJ8OJXQW,B0007Y8GSM,,"terrible, a tin can sounds better than this piece of junk ! the strongs won't stay tied and it was,a gift to a musical grandchild and we are already buying another one totally different than this ! very, very disappointed!","Terrible, a tin can sounds better than this piece ...",1,22,1,2016,0,terrible a tin can sounds better than this piece of junk  the strongs wont stay tied and it wasa gift to a musical grandchild and we are already buying another one totally different than this  very very disappointed
True,2016-01-18,A3JJBQY170V23S,B0007Y8GSM,,the fret board is broken out of the box. poor manufacturing. now i need to waste time shipping it back.,Steer clear. Crappy manufacturing.,1,18,1,2016,0,the fret board is broken out of the box poor manufacturing now i need to waste time shipping it back
True,2016-01-14,A1QC97JH6L03AB,B0007Y8GSM,,this is terrible buy one from a music store,One Star,1,14,1,2016,0,this is terrible buy one from a music store
True,2016-01-13,AQZS27EKXUVD8,B0007Y8GSM,,it's a toy.,One Star,1,13,1,2016,0,its a toy
True,2016-01-10,A2A4Y9C7OS9PR6,B0007Y8GSM,,"this could be a perfect set to start with. however, the fretted notes are out of tune. probably, we got a lemon. otherwise, we liked the set.",Out of tune,2,10,1,2016,0,this could be a perfect set to start with however the fretted notes are out of tune probably we got a lemon otherwise we liked the set
True,2016-01-06,A2ET1BTI4XL9CC,B0007Y8GSM,,"although the product was as described and was nice looking, it would not stay tuned for more than 15-20 at a time. my daughter was constantly having to tune it.","Although the product was as described and was nice looking, it would not stay tuned for more ...",1,6,1,2016,0,although the product was as described and was nice looking it would not stay tuned for more than 1520 at a time my daughter was constantly having to tune it
True,2016-01-02,A2BNORUJ73YVQA,B0007Y8GSM,,"one star is one too many.  this ukulele is terribly cheap and i'm not really sure why i thought this would be better, given the other reviews, but it's junk.

it doesn't hold a tune, it's cheap feeling and the tonality is terrible. just don't buy it.",Cheapy McCheap,1,2,1,2016,0,"one star is one too many  this ukulele is terribly cheap and im not really sure why i thought this would be better given the other reviews but its junk

it doesnt hold a tune its cheap feeling and the tonality is terrible just dont buy it"
True,2015-12-31,A1XPMVM10VP4F5,B0007Y8GSM,,it won't hold a tune long enough to tune it. it's wood-colored plastic. it's junk. you get what you pay for!,Total waste of money,1,31,12,2015,0,it wont hold a tune long enough to tune it its woodcolored plastic its junk you get what you pay for
True,2015-12-30,A36IBOFISZHKCC,B0007Y8GSM,,"unfortunately, this was not able to keep a tune, i feel that the issue was the fret spacing...ups came to pick this item up quickly. thank you.","Unfortunately, this was not able to keep a tune ...",1,30,12,2015,0,unfortunately this was not able to keep a tune i feel that the issue was the fret spacingups came to pick this item up quickly thank you
True,2015-12-26,A3EVYVTLC20BSZ,B0007Y8GSM,,i've seen toys built better than this. don't waste your money!!,One Star,1,26,12,2015,0,ive seen toys built better than this dont waste your money
True,2015-12-21,A25TV755M94GJ1,B0007Y8GSM,,"i play the guitar, but this is the first time i have purchased a ukulele. i like the alfred book and the dvd. however, the instrument itself turned out to be a disappointment. first of all, i noticed small chips and cracks on the body of the ukulele, which was something i was expecting, according to the reviews i had read. i tried to focus on the sound, unfortunately, i couldn't pass the first step of making the instrument in tune. i have decided to return this product right away and purchase a higher quality instrument instead.",I like the Alfred book and the DVD,2,21,12,2015,0,i play the guitar but this is the first time i have purchased a ukulele i like the alfred book and the dvd however the instrument itself turned out to be a disappointment first of all i noticed small chips and cracks on the body of the ukulele which was something i was expecting according to the reviews i had read i tried to focus on the sound unfortunately i couldnt pass the first step of making the instrument in tune i have decided to return this product right away and purchase a higher quality instrument instead
True,2015-12-10,A1EU40P42J9UD9,B0007Y8GSM,,it dose not tell you what kind of ukulele it is there for when it comes you are surprised you get a soprano and there are not metal stings witch means it sounds worse than the instructors dose on the video you get with it and the tote bag that comes with it is trashy,trash,1,10,12,2015,0,it dose not tell you what kind of ukulele it is there for when it comes you are surprised you get a soprano and there are not metal stings witch means it sounds worse than the instructors dose on the video you get with it and the tote bag that comes with it is trashy
True,2013-03-20,AZ9S4HD6KTLYN,B0007Y8GSM,,"not happy with it so i took it over to the local guitar center store and told the manager to give it to a kid that showed an interest in the guitar, but couldn't afford to purchase one.",Hmm.........,2,20,3,2013,0,not happy with it so i took it over to the local guitar center store and told the manager to give it to a kid that showed an interest in the guitar but couldnt afford to purchase one
True,2015-11-11,A1M8600Z2PFDAP,B0007Y8GSM,,"the quality of the instrument is not good. yes it creates a lot of sound, but the frets are crooked. the only chord i could play in tune was the a minor 7 chord. (nothing is pressed down) then as soon as i went to play a different chord, multiple notes when out of tune. do not get this. the only good thing about this package is the book. the gig bag isn't even of good quality. there is absolutely no padding.",The quality of the instrument is not good. Yes it creates a lot of sound,1,11,11,2015,0,the quality of the instrument is not good yes it creates a lot of sound but the frets are crooked the only chord i could play in tune was the a minor 7 chord nothing is pressed down then as soon as i went to play a different chord multiple notes when out of tune do not get this the only good thing about this package is the book the gig bag isnt even of good quality there is absolutely no padding
False,2015-11-10,A3OA9KH743R8MY,B0007Y8GSM,,uke will not even stay in tune.,Cheap uke doesn't stay in tune.,1,10,11,2015,0,uke will not even stay in tune
False,2015-10-16,A2AY2IP9DKPZZH,B0007Y8GSM,,terrible it came with the fretboard broke and the strings are not staying tuned its not even a starter its a toy and the ring on it is a sticker,Terrible it came with the fretboard broke and the strings ...,1,16,10,2015,0,terrible it came with the fretboard broke and the strings are not staying tuned its not even a starter its a toy and the ring on it is a sticker
True,2015-09-27,A4FCJEHCRDGJJ,B0007Y8GSM,,"i bought this for daughter who lives an hour from me. so i never had a chance to inspect it until a little over a month after she received it. she complained it didn't stay in tune. when i saw it, i found that the neck was slowly separating from the body. it is a made in china product. to add to the pain, i am unable to return it due to the required by amazon return policy  :( so i am stuck with a piece of junk.. waste of money!",Waste of money,1,27,9,2015,0,i bought this for daughter who lives an hour from me so i never had a chance to inspect it until a little over a month after she received it she complained it didnt stay in tune when i saw it i found that the neck was slowly separating from the body it is a made in china product to add to the pain i am unable to return it due to the required by amazon return policy   so i am stuck with a piece of junk waste of money
True,2015-09-10,A2BPJK52UKE253,B0007Y8GSM,,very poor quality. better get a makala for $30,One Star,1,10,9,2015,0,very poor quality better get a makala for 30
True,2015-08-31,A342PETANFDJZJ,B0007Y8GSM,,threw it out. plastic junk. basically a kids toy,One Star,1,31,8,2015,0,threw it out plastic junk basically a kids toy
True,2015-08-27,A1KY2OURX0EE47,B0007Y8GSM,,"this was an awful purchase. the ukulele does not even tune! if you are serious about learning to play the ukulele do not purchase this starter kit, you will be very disappointed!",Don't Buy This!,1,27,8,2015,0,this was an awful purchase the ukulele does not even tune if you are serious about learning to play the ukulele do not purchase this starter kit you will be very disappointed
True,2015-08-26,A1ZFRTUNG6NB6W,B0007Y8GSM,,this is the worst ever it didn't hold tune it didn't even come with a tuner i mean total crap i couldn't stand it don't buy just spend like 50 more bucks and get a nice one you won't regret buying,terrible!!,1,26,8,2015,0,this is the worst ever it didnt hold tune it didnt even come with a tuner i mean total crap i couldnt stand it dont buy just spend like 50 more bucks and get a nice one you wont regret buying
True,2015-08-26,AERSB6SDML595,B0007Y8GSM,,this ukulele is worthless.  it cannot even stay in tune through one song. very disappointing.,One Star,1,26,8,2015,0,this ukulele is worthless  it cannot even stay in tune through one song very disappointing
False,2015-08-24,A1O5QRYG52TFOU,B0007Y8GSM,,ordered this for a friend and when she went to tune it the string immediately broke. never going to purchase one of these ukuleles again and i warn you to not either unless you like disappointment.,Cheap. That's it.,1,24,8,2015,0,ordered this for a friend and when she went to tune it the string immediately broke never going to purchase one of these ukuleles again and i warn you to not either unless you like disappointment
True,2015-08-19,AGJC14QELNVJ6,B0007Y8GSM,,first uke arrived with neck separated from body.  ordered a replacement which arrived with exactly the same problem. meanwhile my seven year old was waiting for her present.  overall package with book and extra strings seemed like a good idea.  i was surprised that the the replacement wasn't inspected before being shipped since i had taken the time to provide amazon a detailed description of the defect.,Bad Glue,2,19,8,2015,0,first uke arrived with neck separated from body  ordered a replacement which arrived with exactly the same problem meanwhile my seven year old was waiting for her present  overall package with book and extra strings seemed like a good idea  i was surprised that the the replacement wasnt inspected before being shipped since i had taken the time to provide amazon a detailed description of the defect
True,2015-08-17,A3GW97DVSBFWP1,B0007Y8GSM,,the whole instrument made a buzzing sound when you played it. we brought it to a shop that specializes in uke's and they said it's buzzing because of the poor quality.,we brought it to a shop that specializes in Uke's and they said it's buzzing because of the poor quality.,1,17,8,2015,0,the whole instrument made a buzzing sound when you played it we brought it to a shop that specializes in ukes and they said its buzzing because of the poor quality
